SpID,Grupo taxonómico,Familia,Genero,Especie,Sinonimia,Habito,Origen,Estado de conservacion,Regiones_Biogeograficas,Elevacion_Minima,Elevacion_Maxima
1,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra acanthus,Aphelandra gilva Leonard  Aphelandra phobera Leonard  Aphelandra quercifolia Nees,Arbusto Arbolito,Nativa,No Evaluada,Andes,2000m,3400m
2,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra albert-smithii,,Arbusto,Nativa,No Evaluada,Valle del Magdalena,340m,700m
3,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra ameleta,,Arbusto,Nativa,No Evaluada,Amazonia,150m,300m
4,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra aristei,,Arbusto,Nativa,No Evaluada,Andes,1500m,1500m
5,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra barkleyi,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes  Valle del Magdalena,170m,1050m
6,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra blandii,,Arbusto  Arbolito,Nativa,No Evaluada,Andes,230m,2700m
7,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra boyacensis,,Arbusto,Nativa,No Evaluada,Andes  Valle del Magdalena,325m,1524m
8,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra chaponensis,Aphelandra atecmarta Leonard,Arbusto,Nativa,No Evaluada,Andes,780m,2250m
9,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra cirsioides,,Arbusto,Nativa,No Evaluada,Andes,3000m,3000m
10,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra crenata,,Subarbusto  Arbusto,Nativa,No Evaluada,Amazonia  Guayana y Serrania de La Macarena  Pacifico  Valle del Magdalena,0m,1000m
11,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra cuatrecasasii,Aphelandra crauca Leonard  Aphelandra killipii Leonard,Hierba  Subarbusto  Arbusto,Nativa,No Evaluada,Pacifico,5m,250m
12,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra dolichantha,,Subarbusto  Arbusto,Nativa,No Evaluada,Pacifico,300m,300m
13,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra euopla,,Arbusto,Nativa,No Evaluada,Andes,3300m,3320m
14,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra fernandezii,,Hierba  Arbusto,Nativa,No Evaluada,Pacifico,0m,1800m
15,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra flava,Aphelandra anomala Leonard  Aphelandra fuscopunctata Markgr.,Subarbusto  Arbusto,Nativa,No Evaluada,Andes,500m,1750m
16,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra garciae,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes  Pacifico,0m,1150m
17,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra glabrata,Aphelandra daemonia Leonard  Aphelandra pulcherrima sensu Wassh.p.p.(1975)  Aphelandra sericophylla Leonard,Subarbusto  Arbusto,Nativa,Preocupacion Menor,Andes  Llanura del Caribe  Valle del Cauca  Valle del Magdalena,400m,1050m
18,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra grandis,Aphelandra trichota Leonard,Arbusto,Nativa,No Evaluada,Andes  Valle del Magdalena,100m,1800m
19,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra grangeri,,Arbusto,Nativa,No Evaluada,Andes,3200m,3510m
20,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra hartwegiana,,Subarbusto  Arbusto  Arbolito,Nativa,No Evaluada,Andes  Llanura del Caribe  Pacifico  Valle del Cauca  Valle del Magdalena,5m,1465m
21,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra haughtii,,Arbusto,Nativa,No Evaluada,Valle del Magdalena,100m,475m
22,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra hylaea,,Arbusto,Nativa,No Evaluada,Amazonia,240m,1350m
23,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra lasia,,Arbusto,Nativa,No Evaluada,Andes,800m,2950m
24,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra lasiophylla,,Arbusto,Nativa,No Evaluada,Andes,500m,1300m
25,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra lingua-bovis,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes  Pacifico,40m,1250m
26,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra macrophylla,Aphelandra coccinantha Leonard,Arbusto  Arbolito,Nativa,No Evaluada,Andes,1400m,2000m
27,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra macrostachya,Aphelandra monophthalma Leonard  Aphelandra schultesii Leonard,Arbusto,Nativa,No Evaluada,Amazonia,200m,250m
28,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra mildbraediana,,Arbusto  Arbolito,Nativa,No Evaluada,Sierra Nevada de Santa Marta,1500m,2000m
29,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra panamensis,,Subarbusto  Arbusto,Nativa,No Evaluada,Pacifico,300m,1800m
30,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra parvispica,Aphelandra grantii Leonard,Arbusto  Arbolito,Nativa,No Evaluada,Andes,1200m,2200m
31,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra pharangophila,Aphelandra arborescens Leonard,Arbusto  Arbolito,Nativa,No Evaluada,Andes,1000m,1650m
32,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra phlogea,,Arbusto,Nativa,No Evaluada,Andes,800m,1600m
33,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra pilosa,,Arbusto,Nativa,No Evaluada,Amazonia  Guayana y Serrania de La Macarena  Orinoquia,200m,1300m
34,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra pinarotricha,,Arbusto,Nativa,No Evaluada,Andes,800m,2650m
35,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra porphyrocarpa,,Arbusto  Arbolito,Nativa,No Evaluada,Andes,1800m,2300m
36,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra pulcherrima,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes  Llanura del Caribe  Sierra Nevada de Santa Marta,20m,1100m
37,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra runcinata,Aphelandra porphyrolepis Leonard  Aphelandra runcinata var. pilosa Leonard  Aphelandra runcinata var. straminea Leonard,Subarbusto  Arbusto,Nativa,No Evaluada,Andes,1680m,3000m
38,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra scabra,Aphelandra deppeana Schltdl. & Cham.,Subarbusto  Arbusto,Nativa,No Evaluada,Guayana y Serrania de La Macarena  Llanura del Caribe  Orinoquia  Pacifico,0m,500m
39,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra schieferae,,Arbusto,Nativa,No Evaluada,Andes,480m,500m
40,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra scolnikiae,,Arbusto,Nativa,No Evaluada,Andes,1520m,2500m
41,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra sericantha,,Arbusto,Nativa,No Evaluada,Andes,1800m,1800m
42,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra straminea,Aphelandra hodgei Leonard  Aphelandra longispica Leonard,Hierba  Subarbusto  Arbusto,Nativa,No Evaluada,Valle del Magdalena,300m,900m
43,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra taborensis,,Arbolito,Nativa,No Evaluada,Andes,1970m,2100m
44,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra terryae,Aphelandra incarnata Leonard,Subarbusto  Arbusto  Arbolito,Nativa,No Evaluada,Pacifico  Valle del Magdalena,0m,550m
45,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra tetroicia,,Subarbusto  Arbusto,Nativa,No Evaluada,Valle del Magdalena,400m,790m
46,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra trianae,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes,3000m,3150m
47,Asteridas,ACANTHACEAE,Aphelandra,Aphelandra xanthantha,,Arbusto,Nativa,No Evaluada,Andes,2000m,2200m
48,Asteridas,ACANTHACEAE,Avicennia,Avicennia bicolor,Avicennia tonduzii Moldenke,Ìrbol,Nativa,No Evaluada,Pacifico,0m,150m
49,Asteridas,ACANTHACEAE,Avicennia,Avicennia germinans,Avicennia germinans var. guayaquilensis (Kunth) Moldenke  Avicennia nitida Jacq.,Arbusto  Arbolito  Ìrbol,Nativa,Preocupacion Menor,Llanura del Caribe  Pacifico,0m,100m
50,Asteridas,ACANTHACEAE,Bravaisia,Bravaisia integerrima,,Ìrbol,Nativa,No Evaluada,Llanura del Caribe,0m,200m
51,Asteridas,ACANTHACEAE,Cyphacanthus,Cyphacanthus atopus,,Arbusto,Nativa,No Evaluada,Valle del Magdalena,762m,762m
52,Asteridas,ACANTHACEAE,Encephalosphaera,Encephalosphaera vitellina,,Arbusto  Arbolito,Nativa,No Evaluada,Andes,1000m,1200m
53,Asteridas,ACANTHACEAE,Justicia,Justicia anabasa,,Subarbusto  Arbusto  Liana,Nativa,No Evaluada,Andes,2600m,3000m
54,Asteridas,ACANTHACEAE,Justicia,Justicia aurantiaca,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes,2135m,2200m
55,Asteridas,ACANTHACEAE,Justicia,Justicia bracteosa,Beloperone bracteosa Mildbr.,Subarbusto  Arbusto  Arbolito,Nativa,No Evaluada,Llanura del Caribe  Sierra Nevada de Santa Marta,20m,1000m
56,Asteridas,ACANTHACEAE,Justicia,Justicia chaetocephala,Beloperone chaetocephala Mildbr.,Subarbusto  Arbusto  Trepadora,Nativa,No Evaluada,Llanura del Caribe  Sierra Nevada de Santa Marta,300m,1350m
57,Asteridas,ACANTHACEAE,Justicia,Justicia chloanantha,,Arbusto,Nativa,No Evaluada,Amazonia,290m,300m
58,Asteridas,ACANTHACEAE,Justicia,Justicia chrysocoma,,Arbusto,Nativa,No Evaluada,Andes,800m,2000m
59,Asteridas,ACANTHACEAE,Justicia,Justicia colorifera,Jacobinia tinctoria (Oerst.) Hemsl.,Subarbusto  Arbusto,Cultivada,No Evaluada,Andes,500m,1700m
60,Asteridas,ACANTHACEAE,Justicia,Justicia cuatrecasasii,,Arbusto,Nativa,No Evaluada,Amazonia,150m,200m
61,Asteridas,ACANTHACEAE,Justicia,Justicia ephemera,,Subarbusto  Arbusto,Nativa,No Evaluada,Pacifico,40m,50m
62,Asteridas,ACANTHACEAE,Justicia,Justicia fuchsiifolia,,Arbusto  Liana,Nativa,No Evaluada,Andes,1800m,2400m
63,Asteridas,ACANTHACEAE,Justicia,Justicia gutierrezii,,Arbolito,Nativa,No Evaluada,Guayana y Serrania de La Macarena,400m,400m
64,Asteridas,ACANTHACEAE,Justicia,Justicia helonoma,,Arbusto,Nativa,No Evaluada,Valle del Magdalena,100m,700m
65,Asteridas,ACANTHACEAE,Justicia,Justicia littoralis,Jacobinia lindaviana Rusby,Arbusto,Nativa,No Evaluada,Llanura del Caribe,10m,10m
66,Asteridas,ACANTHACEAE,Justicia,Justicia malacophylla,,Arbusto,Nativa,No Evaluada,Andes,2170m,2170m
67,Asteridas,ACANTHACEAE,Justicia,Justicia pampolystachys,,Arbusto,Nativa,No Evaluada,Amazonia,520m,520m
68,Asteridas,ACANTHACEAE,Justicia,Justicia pelianthia,,Subarbusto  Arbusto,Nativa,No Evaluada,Amazonia,330m,330m
69,Asteridas,ACANTHACEAE,Justicia,Justicia pharmacodes,,Arbusto,Nativa,No Evaluada,Andes  Llanura del Caribe  Sierra Nevada de Santa Marta,170m,700m
70,Asteridas,ACANTHACEAE,Justicia,Justicia phlebophylla,,Arbusto,Nativa,No Evaluada,Pacifico,50m,150m
71,Asteridas,ACANTHACEAE,Justicia,Justicia phytolaccoides,,Hierba  Subarbusto  Arbusto,Nativa,No Evaluada,Andes  Pacifico  Valle del Magdalena,20m,1120m
72,Asteridas,ACANTHACEAE,Justicia,Justicia rohrii,Beloperone rohrii var. latifolia Nees  Beloperone sanmartensis Rusby,Arbusto,Nativa,No Evaluada,Llanura del Caribe,20m,300m
73,Asteridas,ACANTHACEAE,Justicia,Justicia secunda,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes  Llanura del Caribe,50m,2100m
74,Asteridas,ACANTHACEAE,Justicia,Justicia spicigera,Jacobinia spicigera (Schltdl.) L.H.Bailey,Arbusto,Nativa,No Evaluada,Andes,300m,500m
75,Asteridas,ACANTHACEAE,Justicia,Justicia xanthostachya,,Arbusto,Nativa,No Evaluada,Andes,700m,900m
76,Asteridas,ACANTHACEAE,Kalbreyeriella,Kalbreyeriella rostellata,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes,100m,2300m
77,Asteridas,ACANTHACEAE,Megaskepasma,Megaskepasma erythrochlamys,,Arbusto,Cultivada,No Evaluada,,1500m,2000m
78,Asteridas,ACANTHACEAE,Odontonema,Odontonema rubrum,,Hierba  Subarbusto  Arbusto,Nativa,No Evaluada,Sierra Nevada de Santa Marta,1600m,1600m
79,Asteridas,ACANTHACEAE,Odontonema,Odontonema sessile,Odontonema coccineum Leonard,Arbusto,Nativa,No Evaluada,Andes  Valle del Magdalena,150m,1380m
80,Asteridas,ACANTHACEAE,Pachystachys,Pachystachys lutea,,Subarbusto  Arbusto,Cultivada,No Evaluada,Andes,1700m,1700m
81,Asteridas,ACANTHACEAE,Pseuderanthemum,Pseuderanthemum carruthersii,Pseuderanthemum atropurpureum (W.Bull) Radlk.,Arbusto  Arbolito,Cultivada,No Evaluada,Andes  Islas Caribenas  Llanura del Caribe  Valle del Magdalena,0m,1000m
82,Asteridas,ACANTHACEAE,Pseuderanthemum,Pseuderanthemum chaponense,,Subarbusto  Arbusto,Nativa,No Evaluada,Andes  Valle del Magdalena,762m,925m
83,Asteridas,ACANTHACEAE,Pseuderanthemum,Pseuderanthemum chilianthium,,Arbusto  Arbolito  Trepadora,Nativa,No Evaluada,Andes  Orinoquia  Pacifico  Valle del Magdalena,80m,660m
84,Asteridas,ACANTHACEAE,Pseuderanthemum,Pseuderanthemum dawei,Pseuderanthemum cuatrecasasii Leonard,Arbusto,Nativa,No Evaluada,Andes,1300m,2200m
85,Asteridas,ACANTHACEAE,Pseuderanthemum,Pseuderanthemum galbanum,,Arbusto,Nativa,No Evaluada,Amazonia,250m,250m
86,Asteridas,ACANTHACEAE,Pseuderanthemum,Pseuderanthemum interruptum,Justicia interrupta Kunth  Odontonema interruptum (Kunth) Kuntze  Thyrsacanthus interruptus (Kunth) Nees,Arbusto,Nativa,No Evaluada,Andes,1830m,1830m
87,Asteridas,ACANTHACEAE,Pseuderanthemum,Pseuderanthemum lanceum,,Arbusto,Nativa,No Evaluada,,m,m
88,Asteridas,ACANTHACEAE,Pseuderanthemum,Pseuderanthemum potamophilum,,Arbusto,Nativa,No Evaluada,Amazonia,290m,290m
89,Asteridas,ACANTHACEAE,Pseuderanthemum,Pseuderanthemum stenostachyum,Odontonema stenostachyum Leonard,Arbusto,Nativa,No Evaluada,Pacifico,150m,150m
90,Asteridas,ACANTHACEAE,Razisea,Razisea spicata,,Arbusto,Nativa,No Evaluada,Andes,1000m,1090m
91,Asteridas,ACANTHACEAE,Ruellia,Ruellia humboldtiana,,Hierba  Arbusto,Nativa,No Evaluada,Amazonia  Orinoquia,100m,820m
92,Asteridas,ACANTHACEAE,Ruellia,Ruellia longifilamentosa,,Arbusto,Nativa,No Evaluada,Andes,1050m,1550m
93,Asteridas,ACANTHACEAE,Ruellia,Ruellia macrophylla,,Hierba  Arbusto  Arbolito,Nativa,No Evaluada,Llanura del Caribe  Pacifico  Valle del Magdalena,10m,790m
94,Asteridas,ACANTHACEAE,Ruellia,Ruellia tubiflora,Dipteracanthus leucanthus Nees  Ruellia stuebelii Lindau  Scorodoxylum hartwegianum Nees,Hierba  Subarbusto  Arbusto,Nativa,Preocupacion Menor,Amazonia  Llanura del Caribe  Orinoquia  Valle del Magdalena,350m,1650m
95,Asteridas,ACANTHACEAE,Sanchezia,Sanchezia decora,,Arbusto,Nativa,No Evaluada,Amazonia,80m,80m
96,Asteridas,ACANTHACEAE,Sanchezia,Sanchezia lutea,,Arbusto,Nativa,No Evaluada,Amazonia  Orinoquia  Pacifico,0m,500m
97,Asteridas,ACANTHACEAE,Sanchezia,Sanchezia macrocnemis,Ancylogyne macrocnemis Nees  Sanchezia pennellii Leonard,Arbusto,Nativa,No Evaluada,Amazonia  Pacifico  Valle del Cauca  Valle del Magdalena,0m,1200m
98,Asteridas,ACANTHACEAE,Sanchezia,Sanchezia oblonga,Sanchezia nobilis Hook.f.  Sanchezia peruviana (Nees) Rusby,Arbusto,Nativa y cultivada,No Evaluada,Amazonia,100m,110m
99,Asteridas,ACANTHACEAE,Sanchezia,Sanchezia parvibracteata,,Arbusto,Nativa y cultivada,No Evaluada,Amazonia,270m,310m
100,Asteridas,ACANTHACEAE,Sanchezia,Sanchezia putumayensis,,Arbusto,Nativa,No Evaluada,Amazonia  Pacifico,100m,300m
101,Asteridas,ACANTHACEAE,Sanchezia,Sanchezia scandens,,Arbusto,Nativa,No Evaluada,Amazonia,100m,100m
102,Asteridas,ACANTHACEAE,Sanchezia,Sanchezia speciosa,,Arbusto,Nativa y cultivada,No Evaluada,Amazonia,m,m
103,Asteridas,ACANTHACEAE,Sanchezia,Sanchezia thinophila,,Arbusto,Nativa,No Evaluada,Amazonia,100m,100m
104,Asteridas,ACANTHACEAE,Stenostephanus,Stenostephanus kirkbridei,Habracanthus kirkbridei (Wassh.) J.R.I.Wood  Kalbreyeracanthus kirkbridei Wassh.,Arbusto,Nativa,No Evaluada,Sierra Nevada de Santa Marta,1800m,1800m
105,Asteridas,ACANTHACEAE,Stenostephanus,Stenostephanus magdalenensis,Habracanthus magdalenensis (Wassh.) J.R.I.Wood  Hansteinia magdalenensis Wassh.  Hansteinia magdalenensis var. pilosa Wassh.,Arbusto,Nativa,No Evaluada,Sierra Nevada de Santa Marta,2800m,3000m
106,Asteridas,ACANTHACEAE,Thunbergia,Thunbergia erecta,,Arbusto,Cultivada,No Evaluada,Andes,750m,1000m
107,Asteridas,ACANTHACEAE,Trichanthera,Trichanthera corymbosa,,Ìrbol,Nativa,No Evaluada,Andes,1400m,2100m
108,Asteridas,ACANTHACEAE,Trichanthera,Trichanthera gigantea,,Arbolito  Ìrbol,Nativa,Preocupacion Menor,Amazonia  Andes  Pacifico,0m,2000m
109,Rosidas,ACHARIACEAE,Carpotroche,Carpotroche amazonica,,Arbolito,Nativa,No Evaluada,Amazonia,240m,240m
110,Rosidas,ACHARIACEAE,Carpotroche,Carpotroche grandiflora,,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Amazonia  Guayana y Serrania de La Macarena,150m,300m
111,Rosidas,ACHARIACEAE,Carpotroche,Carpotroche integrifolia,,Arbusto  Arbolito,Nativa,No Evaluada,Amazonia,240m,240m
112,Rosidas,ACHARIACEAE,Carpotroche,Carpotroche longifolia,Mayna linguifolia R.E.Schult.  Mayna longifolia Poepp.  Mayna muricida R.E.Schult.,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Amazonia  Llanura del Caribe  Orinoquia  Pacifico,0m,1200m
113,Rosidas,ACHARIACEAE,Carpotroche,Carpotroche pacifica,Mayna pacifica Cuatrec.,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Amazonia  Pacifico,0m,350m
114,Rosidas,ACHARIACEAE,Carpotroche,Carpotroche platyptera,,Arbusto  Arbolito,Nativa,No Evaluada,Pacifico,70m,70m
115,Rosidas,ACHARIACEAE,Carpotroche,Carpotroche ramosii,Mayna ramosii Cuatrec.,Arbolito  Ìrbol,Nativa,No Evaluada,Pacifico,5m,50m
116,Rosidas,ACHARIACEAE,Carpotroche,Carpotroche surinamensis,,Arbolito,Nativa,No Evaluada,Amazonia  Guayana y Serrania de La Macarena,100m,100m
117,Rosidas,ACHARIACEAE,Hydnocarpus,Hydnocarpus anthelminthicus,,Arbusto  Arbolito  Ìrbol,Cultivada,No Evaluada,Valle del Magdalena,350m,350m
118,Rosidas,ACHARIACEAE,Lindackeria,Lindackeria laurina,Lindackeria nitida Killip & R.E.Schult.,Arbolito  Ìrbol,Nativa,No Evaluada,Amazonia  Llanura del Caribe  Orinoquia  Pacifico  Valle del Cauca  Valle del Magdalena,0m,1000m
119,Rosidas,ACHARIACEAE,Lindackeria,Lindackeria paludosa,,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Amazonia  Guayana y Serrania de La Macarena  Orinoquia,100m,500m
120,Rosidas,ACHARIACEAE,Mayna,Mayna grandifolia,Dendrostylis grandifolia H.Karst.,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Amazonia  Guayana y Serrania de La Macarena  Llanura del Caribe  Pacifico  Valle del Magdalena,0m,1950m
121,Rosidas,ACHARIACEAE,Mayna,Mayna hystricina,,Arbusto  Arbolito,Nativa,No Evaluada,Andes,1400m,2100m
122,Rosidas,ACHARIACEAE,Mayna,Mayna odorata,Mayna glomerata Killip & R.E.Schult.,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Amazonia  Guayana y Serrania de La Macarena  Llanura del Caribe  Orinoquia  Pacifico  Valle del Magdalena,0m,1550m
123,Rosidas,ACHARIACEAE,Mayna,Mayna pubescens,Dendrostylis pubescens H.Karst. & Triana,Arbusto  Arbolito,Nativa,En Peligro,Andes  Pacifico,1000m,2000m
124,Rosidas,ACHARIACEAE,Mayna,Mayna suaveolens,Dendrostylis suaveolens Triana & H.Karst.,Ìrbol,Nativa,En Peligro,Pacifico  Valle del Magdalena,300m,1000m
125,SuperAsteridas,ACHATOCARPACEAE,Achatocarpus,Achatocarpus nigricans,,Arbusto  Ìrbol,Nativa,No Evaluada,Islas Caribenas  Llanura del Caribe  Valle del Cauca  Valle del Magdalena,10m,1300m
126,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia alloplectifolia,,Ìrbol,Nativa,No Evaluada,Andes,520m,620m
127,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia arnoldii,,Ìrbol,Nativa,No Evaluada,Andes  Sierra Nevada de Santa Marta,1090m,2400m
128,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia aromatica,Saurauia alvaroi R.E.Schult.  Saurauia echinosepala R.E.Schult.,Ìrbol,Nativa,No Evaluada,Andes,500m,2600m
129,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia brachybotrys,Saurauia brachybotrys var. macrantha Buscal.  Saurauia peduncularis var. veraniana Buscal.,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Andes,671m,2500m
130,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia bullosa,Saurauia garcia-barrigae R.E.Schult.,Ìrbol,Nativa,No Evaluada,Andes,2200m,3600m
131,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia caquetensis,,Arbusto,Nativa,No Evaluada,Andes,1750m,3150m
132,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia chiliantha,Saurauia kallima R.E.Schult.,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Andes,1300m,2900m
133,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia chocoensis,,Arbusto  Ìrbol,Nativa,No Evaluada,Andes  Pacifico,50m,1670m
134,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia choriophylla,,Ìrbol,Nativa,No Evaluada,Andes,1300m,3550m
135,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia cuatrecasasiana,,Ìrbol,Nativa,No Evaluada,Andes,1200m,3150m
136,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia excelsa,Saurauia schlimii Sprague,Arbolito,Nativa,No Evaluada,Andes  Sierra Nevada de Santa Marta,420m,2150m
137,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia floccifera,,Ìrbol,Nativa,No Evaluada,Andes  Pacifico,100m,2350m
138,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia isoxanthotricha,Saurauia anolaimensis R.E.Schult. & Garcia-Barr.  Saurauia intonsa R.E.Schult.,Arbusto,Nativa,No Evaluada,Andes,1260m,2800m
139,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia laevigata,,Ìrbol,Nativa,No Evaluada,Andes  Valle del Magdalena,600m,1900m
140,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia lehmannii,,Ìrbol,Nativa,Casi Amenazada,Andes,1650m,1810m
141,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia micayensis,Saurauia rigidissima R.E.Schult.,Arbusto  Ìrbol,Nativa,No Evaluada,Andes,1240m,2880m
142,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia multinervis,,Arbusto,Nativa,No Evaluada,Andes,2000m,2720m
143,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia omichlophila,,Arbusto,Nativa,No Evaluada,Andes,1700m,3800m
144,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia oroquensis,,Ìrbol,Nativa,No Evaluada,Andes,2600m,2600m
145,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia parviflora,Saurauia parviflora f. lehmanniana Buscal.,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Andes  Valle del Cauca,550m,2275m
146,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia peduncularis,,Arbusto  Ìrbol,Nativa,No Evaluada,Andes,1000m,2400m
147,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia portachuelensis,,Arbolito,Nativa,No Evaluada,Andes,1080m,3000m
148,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia prainiana,,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Andes,1000m,2100m
149,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia pseudoleucocarpa,,Arbusto  Ìrbol,Nativa,No Evaluada,Andes  Pacifico,0m,830m
150,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia pulchra,,Arbolito  Ìrbol,Nativa,No Evaluada,Andes,1300m,2300m
151,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia putumayonis,,Arbusto  Arbolito,Nativa,No Evaluada,Andes,1300m,2900m
152,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia rhodosma,,Arbusto,,No Evaluada,,2300m,2300m
153,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia scabra,Palaua scabra Kunth  Saurauia humboldtiana Buscal.  Saurauia narcissifragrans R.E.Schult.  Saurauia prainiana var. humboldtiana Buscal.,Ìrbol,Nativa,No Evaluada,Andes,1400m,2800m
154,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia schultesiana,,Ìrbol,Nativa,No Evaluada,Andes,3200m,3400m
155,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia spinuligera,,Arbusto,Nativa,No Evaluada,Andes,1450m,3300m
156,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia stapfiana,,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Andes,900m,3300m
157,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia strigillosa,Saurauia floribunda var. laevigata Buscal.  Saurauia strigillosa var. microphylla Buscal.,Arbusto  Ìrbol,Nativa,No Evaluada,Andes,1500m,2800m
158,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia tomentosa,Saurauia pruinosa R.E.Schult.,Ìrbol,Nativa,No Evaluada,Andes,1200m,3200m
159,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia ursina,,Arbusto  Arbolito  Ìrbol,Nativa,No Evaluada,Andes,700m,2700m
160,Asteridas,ACTINIDIACEAE,Saurauia,Saurauia yasicae,Saurauia herbert-smithii Rusby  Saurauia smithiana Buscal.,Ìrbol,Nativa,No Evaluada,Andes  Llanura del Caribe  Pacifico  Sierra Nevada de Santa Marta  Valle del Magdalena,0m,2000m
